"name","costOfLivingIndex","rentIndex","restaurantsIndex","localPurchasingPowerIndex","pop2019"
"Barbados","80.3200",20,"72.6100","56.9700","287.0250"
"Denmark","83.8800","33.7300","100.6300","110.6900","5771.8760"
"Luxembourg","84.6800","55.4400","92.9100","107.8900","615.7290"
"Japan","85.5200","28.0800","50.0500","97.5700","126860.3010"
"Bahamas","85.9600","35.4000","87.2000","56.2100","389.4820"
"Iceland","97.2200","45.0800","111.4600","92.0300","339.0310"
"Norway","104.4900","37.2600","115.5900",98,"5378.8570"
"Switzerland","122.6700","50.2200","124.0400","127.7600","8591.3650"
"Bermuda","138.2200","87.6200","150.4000","79.8700","62.5060"
"Cayman Islands","141.6400","74.4000","105.0300","137.8800","64.9480"
